Reporting level,Province/territory,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Alberta,n/a,CABG,% meeting benchmark,2008,Proportion,99
Provincial,Alberta,n/a,CABG,50th percentile,2008,Days,7
Provincial,Alberta,n/a,CABG,90th percentile,2008,Days,83
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2008,Proportion,77
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2008,Days,103
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2008,Days,255
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2008,Proportion,72
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2008,Days,123
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2008,Days,299
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2008,Proportion,71
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2008,Days,70
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2008,Days,199
Provincial,Alberta,n/a,Cataract Surgery,Volume,2008,Number of cases,8662
Provincial,Alberta,n/a,MRI Scan,50th percentile,2008,Days,41
Provincial,Alberta,n/a,MRI Scan,90th percentile,2008,Days,136
Provincial,Alberta,n/a,MRI Scan,Volume,2008,Number of cases,40634
Provincial,Alberta,n/a,CT Scan,50th percentile,2008,Days,10
Provincial,Alberta,n/a,CT Scan,90th percentile,2008,Days,39
Provincial,Alberta,n/a,CABG,% meeting benchmark,2009,Proportion,93
Provincial,Alberta,n/a,CABG,50th percentile,2009,Days,17
Provincial,Alberta,n/a,CABG,90th percentile,2009,Days,156
Provincial,Alberta,n/a,CABG,Volume,2009,Number of cases,665
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2009,Proportion,81
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2009,Days,93
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2009,Days,250
Provincial,Alberta,n/a,Hip Replacement,Volume,2009,Number of cases,1475
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2009,Proportion,71
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2009,Days,120
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2009,Days,352
Provincial,Alberta,n/a,Knee Replacement,Volume,2009,Number of cases,2233
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2009,Proportion,74
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2009,Days,14
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2009,Days,38
Provincial,Alberta,n/a,Radiation Therapy,Volume,2009,Number of cases,3335
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2009,Proportion,80
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2009,Hours,26
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2009,Hours,68
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2009,Number of cases,1188
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2009,Proportion,61
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2009,Days,88
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2009,Days,270
Provincial,Alberta,n/a,Cataract Surgery,Volume,2009,Number of cases,9148
Provincial,Alberta,n/a,MRI Scan,50th percentile,2009,Days,57
Provincial,Alberta,n/a,MRI Scan,90th percentile,2009,Days,189
Provincial,Alberta,n/a,MRI Scan,Volume,2009,Number of cases,41866
Provincial,Alberta,n/a,CT Scan,50th percentile,2009,Days,11
Provincial,Alberta,n/a,CT Scan,90th percentile,2009,Days,34
Provincial,Alberta,n/a,CABG,% meeting benchmark,2010,Proportion,95
Provincial,Alberta,n/a,CABG,50th percentile,2010,Days,15
Provincial,Alberta,n/a,CABG,90th percentile,2010,Days,133
Provincial,Alberta,n/a,CABG,Volume,2010,Number of cases,590
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2010,Proportion,78
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2010,Days,104
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2010,Days,268
Provincial,Alberta,n/a,Hip Replacement,Volume,2010,Number of cases,1481
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2010,Proportion,69
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2010,Days,128
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2010,Days,344
Provincial,Alberta,n/a,Knee Replacement,Volume,2010,Number of cases,2342
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2010,Proportion,94
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2010,Days,8
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2010,Days,26
Provincial,Alberta,n/a,Radiation Therapy,Volume,2010,Number of cases,3290
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2010,Proportion,81
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2010,Hours,23
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2010,Hours,69
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2010,Number of cases,1190
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2010,Proportion,73
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2010,Hours,31
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2010,Hours,74
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2010,Number of cases,832
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2010,Proportion,48
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2010,Days,118
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2010,Days,331
Provincial,Alberta,n/a,Cataract Surgery,Volume,2010,Number of cases,8453
Provincial,Alberta,n/a,MRI Scan,50th percentile,2010,Days,39
Provincial,Alberta,n/a,MRI Scan,90th percentile,2010,Days,118
Provincial,Alberta,n/a,MRI Scan,Volume,2010,Number of cases,33713
Provincial,Alberta,n/a,CT Scan,50th percentile,2010,Days,8
Provincial,Alberta,n/a,CT Scan,90th percentile,2010,Days,36
Provincial,Alberta,n/a,CABG,% meeting benchmark,2011,Proportion,95
Provincial,Alberta,n/a,CABG,50th percentile,2011,Days,15
Provincial,Alberta,n/a,CABG,90th percentile,2011,Days,134
Provincial,Alberta,n/a,CABG,Volume,2011,Number of cases,369
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2011,Proportion,80
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2011,Days,101
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2011,Days,290
Provincial,Alberta,n/a,Hip Replacement,Volume,2011,Number of cases,1673
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2011,Proportion,70
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2011,Days,124
Provincial,Alberta,n/a,Knee Replacement,90th percentile,2011,Days,344
Provincial,Alberta,n/a,Knee Replacement,Volume,2011,Number of cases,2650
Provincial,Alberta,n/a,Radiation Therapy,% meeting benchmark,2011,Proportion,98
Provincial,Alberta,n/a,Radiation Therapy,50th percentile,2011,Days,6
Provincial,Alberta,n/a,Radiation Therapy,90th percentile,2011,Days,22
Provincial,Alberta,n/a,Radiation Therapy,Volume,2011,Number of cases,3465
Provincial,Alberta,n/a,Hip Fracture Repair,% meeting benchmark,2011,Proportion,81
Provincial,Alberta,n/a,Hip Fracture Repair,50th percentile,2011,Hours,24
Provincial,Alberta,n/a,Hip Fracture Repair,90th percentile,2011,Hours,65
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2011,Number of cases,1173
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2011,Proportion,74
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2011,Hours,30
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2011,Hours,72
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2011,Number of cases,1005
Provincial,Alberta,n/a,Cataract Surgery,% meeting benchmark,2011,Proportion,59
Provincial,Alberta,n/a,Cataract Surgery,50th percentile,2011,Days,88
Provincial,Alberta,n/a,Cataract Surgery,90th percentile,2011,Days,275
Provincial,Alberta,n/a,Cataract Surgery,Volume,2011,Number of cases,10301
Provincial,Alberta,n/a,MRI Scan,50th percentile,2011,Days,51
Provincial,Alberta,n/a,MRI Scan,90th percentile,2011,Days,235
Provincial,Alberta,n/a,MRI Scan,Volume,2011,Number of cases,52669
Provincial,Alberta,n/a,CT Scan,50th percentile,2011,Days,13
Provincial,Alberta,n/a,CT Scan,90th percentile,2011,Days,37
Provincial,Alberta,n/a,CT Scan,Volume,2011,Number of cases,75386
Provincial,Alberta,n/a,Hip Replacement,% meeting benchmark,2012,Proportion,84
Provincial,Alberta,n/a,Hip Replacement,50th percentile,2012,Days,90
Provincial,Alberta,n/a,Hip Replacement,90th percentile,2012,Days,245
Provincial,Alberta,n/a,Hip Replacement,Volume,2012,Number of cases,1838
Provincial,Alberta,n/a,Knee Replacement,% meeting benchmark,2012,Proportion,79
Provincial,Alberta,n/a,Knee Replacement,50th percentile,2012,Days,104
