,province,procedure,wait_time_metric,Data year,metric_result
0,Alberta,CABG,% meeting benchmark,2008,99
1,Alberta,CABG,50th percentile,2008,7
2,Alberta,CABG,90th percentile,2008,83
3,Alberta,Hip Replacement,% meeting benchmark,2008,77
4,Alberta,Hip Replacement,50th percentile,2008,103
5,Alberta,Hip Replacement,90th percentile,2008,255
6,Alberta,Knee Replacement,% meeting benchmark,2008,72
7,Alberta,Knee Replacement,50th percentile,2008,123
8,Alberta,Knee Replacement,90th percentile,2008,299
9,Alberta,Cataract Surgery,% meeting benchmark,2008,71
10,Alberta,Cataract Surgery,50th percentile,2008,70
11,Alberta,Cataract Surgery,90th percentile,2008,199
12,Alberta,Cataract Surgery,Volume,2008,8662
13,Alberta,MRI Scan,50th percentile,2008,41
14,Alberta,MRI Scan,90th percentile,2008,136
15,Alberta,MRI Scan,Volume,2008,40634
16,Alberta,CT Scan,50th percentile,2008,10
17,Alberta,CT Scan,90th percentile,2008,39
18,Alberta,CABG,% meeting benchmark,2009,93
19,Alberta,CABG,50th percentile,2009,17
20,Alberta,CABG,90th percentile,2009,156
21,Alberta,CABG,Volume,2009,665
22,Alberta,Hip Replacement,% meeting benchmark,2009,81
23,Alberta,Hip Replacement,50th percentile,2009,93
24,Alberta,Hip Replacement,90th percentile,2009,250
25,Alberta,Hip Replacement,Volume,2009,1475
26,Alberta,Knee Replacement,% meeting benchmark,2009,71
27,Alberta,Knee Replacement,50th percentile,2009,120
28,Alberta,Knee Replacement,90th percentile,2009,352
29,Alberta,Knee Replacement,Volume,2009,2233
30,Alberta,Radiation Therapy,% meeting benchmark,2009,74
31,Alberta,Radiation Therapy,50th percentile,2009,14
32,Alberta,Radiation Therapy,90th percentile,2009,38
33,Alberta,Radiation Therapy,Volume,2009,3335
34,Alberta,Hip Fracture Repair,% meeting benchmark,2009,80
35,Alberta,Hip Fracture Repair,50th percentile,2009,26
36,Alberta,Hip Fracture Repair,90th percentile,2009,68
37,Alberta,Hip Fracture Repair,Volume,2009,1188
38,Alberta,Cataract Surgery,% meeting benchmark,2009,61
39,Alberta,Cataract Surgery,50th percentile,2009,88
40,Alberta,Cataract Surgery,90th percentile,2009,270
41,Alberta,Cataract Surgery,Volume,2009,9148
42,Alberta,MRI Scan,50th percentile,2009,57
43,Alberta,MRI Scan,90th percentile,2009,189
44,Alberta,MRI Scan,Volume,2009,41866
45,Alberta,CT Scan,50th percentile,2009,11
46,Alberta,CT Scan,90th percentile,2009,34
47,Alberta,CABG,% meeting benchmark,2010,95
48,Alberta,CABG,50th percentile,2010,15
49,Alberta,CABG,90th percentile,2010,133
50,Alberta,CABG,Volume,2010,590
51,Alberta,Hip Replacement,% meeting benchmark,2010,78
52,Alberta,Hip Replacement,50th percentile,2010,104
53,Alberta,Hip Replacement,90th percentile,2010,268
54,Alberta,Hip Replacement,Volume,2010,1481
55,Alberta,Knee Replacement,% meeting benchmark,2010,69
56,Alberta,Knee Replacement,50th percentile,2010,128
57,Alberta,Knee Replacement,90th percentile,2010,344
58,Alberta,Knee Replacement,Volume,2010,2342
59,Alberta,Radiation Therapy,% meeting benchmark,2010,94
60,Alberta,Radiation Therapy,50th percentile,2010,8
61,Alberta,Radiation Therapy,90th percentile,2010,26
62,Alberta,Radiation Therapy,Volume,2010,3290
63,Alberta,Hip Fracture Repair,% meeting benchmark,2010,81
64,Alberta,Hip Fracture Repair,50th percentile,2010,23
65,Alberta,Hip Fracture Repair,90th percentile,2010,69
66,Alberta,Hip Fracture Repair,Volume,2010,1190
67,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2010,73
68,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2010,31
69,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2010,74
70,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2010,832
71,Alberta,Cataract Surgery,% meeting benchmark,2010,48
72,Alberta,Cataract Surgery,50th percentile,2010,118
73,Alberta,Cataract Surgery,90th percentile,2010,331
74,Alberta,Cataract Surgery,Volume,2010,8453
75,Alberta,MRI Scan,50th percentile,2010,39
76,Alberta,MRI Scan,90th percentile,2010,118
77,Alberta,MRI Scan,Volume,2010,33713
78,Alberta,CT Scan,50th percentile,2010,8
79,Alberta,CT Scan,90th percentile,2010,36
80,Alberta,CABG,% meeting benchmark,2011,95
81,Alberta,CABG,50th percentile,2011,15
82,Alberta,CABG,90th percentile,2011,134
83,Alberta,CABG,Volume,2011,369
84,Alberta,Hip Replacement,% meeting benchmark,2011,80
85,Alberta,Hip Replacement,50th percentile,2011,101
86,Alberta,Hip Replacement,90th percentile,2011,290
87,Alberta,Hip Replacement,Volume,2011,1673
88,Alberta,Knee Replacement,% meeting benchmark,2011,70
89,Alberta,Knee Replacement,50th percentile,2011,124
90,Alberta,Knee Replacement,90th percentile,2011,344
91,Alberta,Knee Replacement,Volume,2011,2650
92,Alberta,Radiation Therapy,% meeting benchmark,2011,98
93,Alberta,Radiation Therapy,50th percentile,2011,6
94,Alberta,Radiation Therapy,90th percentile,2011,22
95,Alberta,Radiation Therapy,Volume,2011,3465
96,Alberta,Hip Fracture Repair,% meeting benchmark,2011,81
97,Alberta,Hip Fracture Repair,50th percentile,2011,24
98,Alberta,Hip Fracture Repair,90th percentile,2011,65
99,Alberta,Hip Fracture Repair,Volume,2011,1173
100,Alberta,Hip Fracture Repair/Emergency and Inpatient,% meeting benchmark,2011,74
101,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th percentile,2011,30
102,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th percentile,2011,72
103,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2011,1005
104,Alberta,Cataract Surgery,% meeting benchmark,2011,59
105,Alberta,Cataract Surgery,50th percentile,2011,88
106,Alberta,Cataract Surgery,90th percentile,2011,275
107,Alberta,Cataract Surgery,Volume,2011,10301
108,Alberta,MRI Scan,50th percentile,2011,51
109,Alberta,MRI Scan,90th percentile,2011,235
110,Alberta,MRI Scan,Volume,2011,52669
111,Alberta,CT Scan,50th percentile,2011,13
112,Alberta,CT Scan,90th percentile,2011,37
113,Alberta,CT Scan,Volume,2011,75386
114,Alberta,Hip Replacement,% meeting benchmark,2012,84
115,Alberta,Hip Replacement,50th percentile,2012,90
116,Alberta,Hip Replacement,90th percentile,2012,245
117,Alberta,Hip Replacement,Volume,2012,1838
