state,medical_procedure,year,%meeting_benchmark,50th_percentile_days,90th_percentile_days,total_cases
Alberta,CABG,2008,99,7,83,511
Alberta,CABG,2009,93,17,156,665
Alberta,CABG,2010,95,15,133,590
Alberta,CABG,2011,95,15,134,369
Alberta,Cataract Surgery,2008,71,70,199,8662
Alberta,Cataract Surgery,2009,61,88,270,9148
Alberta,Cataract Surgery,2010,48,118,331,8453
Alberta,Cataract Surgery,2011,59,88,275,10301
Alberta,Cataract Surgery,2012,69,78,209,10557
Alberta,Cataract Surgery,2013,66,79,212,10514
Alberta,Cataract Surgery,2014,71,73,202,11348
Alberta,Cataract Surgery,2015,64,87,224,11145
Alberta,Cataract Surgery,2016,58,92,243,11770
Alberta,Cataract Surgery,2017,55.6,99,260,11389
Alberta,Cataract Surgery,2018,48.7,116,320,11684
Alberta,Cataract Surgery,2019,44.3,131,356,13409
Alberta,Cataract Surgery,2020,34.6,183,396,10424
Alberta,Cataract Surgery,2021,64.2,73,267,14910
Alberta,Hip Fracture Repair,2009,80,26,68,1188
Alberta,Hip Fracture Repair,2010,81,23,69,1190
Alberta,Hip Fracture Repair,2011,81,24,65,1173
Alberta,Hip Fracture Repair,2012,80,24,69,1213
Alberta,Hip Fracture Repair,2013,85,22,60,1300
Alberta,Hip Fracture Repair,2014,82,23,61,1373
Alberta,Hip Fracture Repair,2015,86,22,59,1359
Alberta,Hip Fracture Repair,2016,91,20,47,1422
Alberta,Hip Fracture Repair,2017,92.3,19,45,1312
Alberta,Hip Fracture Repair,2018,94,17,41,1399
Alberta,Hip Fracture Repair,2019,91.3,18,46,1506
Alberta,Hip Fracture Repair,2020,92.55,18,44,1464
Alberta,Hip Fracture Repair,2021,92.22,20,45,1504
Alberta,Hip Fracture Repair/Emergency and Inpatient,2010,73,31,74,832
Alberta,Hip Fracture Repair/Emergency and Inpatient,2011,74,30,72,1005
Alberta,Hip Fracture Repair/Emergency and Inpatient,2012,74,30,74,1048
